s,m/s,,s
Time,error,iter,cputime
 4.741E+00, 9.865E-05, 1.237E+02, 4.501E+03
 4.760E+00, 9.897E-05, 1.208E+02, 4.528E+03
 4.780E+00, 9.909E-05, 1.153E+02, 4.556E+03
 4.800E+00, 9.863E-05, 1.110E+02, 4.586E+03
 4.821E+00, 9.896E-05, 1.120E+02, 4.615E+03
 4.840E+00, 9.883E-05, 1.135E+02, 4.643E+03
 4.861E+00, 9.875E-05, 1.109E+02, 4.670E+03
 4.880E+00, 9.888E-05, 9.981E+01, 4.696E+03
 4.900E+00, 9.884E-05, 1.051E+02, 4.720E+03
 4.920E+00, 9.912E-05, 1.083E+02, 4.743E+03
 4.941E+00, 9.897E-05, 1.157E+02, 4.767E+03
 4.961E+00, 9.894E-05, 1.329E+02, 4.790E+03
 4.981E+00, 9.903E-05, 1.276E+02, 4.813E+03
 5.001E+00, 9.902E-05, 1.445E+02, 4.835E+03
 5.020E+00, 9.896E-05, 1.214E+02, 4.857E+03
 5.040E+00, 9.901E-05, 1.304E+02, 4.879E+03
 5.060E+00, 9.903E-05, 1.410E+02, 4.901E+03
 5.081E+00, 9.913E-05, 1.399E+02, 4.926E+03
 5.101E+00, 9.907E-05, 1.324E+02, 4.949E+03
 5.121E+00, 9.894E-05, 1.335E+02, 4.973E+03
 5.141E+00, 9.899E-05, 1.243E+02, 5.000E+03
 5.160E+00, 9.902E-05, 1.275E+02, 5.024E+03
 5.180E+00, 9.887E-05, 1.267E+02, 5.048E+03
 5.201E+00, 9.887E-05, 1.291E+02, 5.075E+03
 5.221E+00, 9.908E-05, 1.253E+02, 5.102E+03
 5.241E+00, 9.899E-05, 1.213E+02, 5.128E+03
 5.260E+00, 9.902E-05, 1.273E+02, 5.155E+03
 5.280E+00, 9.905E-05, 1.259E+02, 5.182E+03
 5.300E+00, 9.876E-05, 1.137E+02, 5.208E+03
 5.320E+00, 9.902E-05, 1.358E+02, 5.236E+03
 5.340E+00, 9.887E-05, 1.266E+02, 5.262E+03
 5.361E+00, 9.922E-05, 1.194E+02, 5.288E+03
 5.381E+00, 9.901E-05, 1.219E+02, 5.313E+03
 5.400E+00, 9.912E-05, 1.223E+02, 5.337E+03
 5.420E+00, 9.903E-05, 1.228E+02, 5.362E+03
 5.441E+00, 9.904E-05, 1.440E+02, 5.389E+03
 5.461E+00, 9.888E-05, 1.232E+02, 5.415E+03
 5.480E+00, 9.893E-05, 1.359E+02, 5.439E+03
 5.500E+00, 9.897E-05, 1.332E+02, 5.464E+03
 5.521E+00, 9.915E-05, 1.281E+02, 5.489E+03
 5.541E+00, 9.897E-05, 1.146E+02, 5.513E+03
 5.560E+00, 9.871E-05, 1.294E+02, 5.537E+03
 5.581E+00, 9.918E-05, 1.334E+02, 5.562E+03
 5.601E+00, 9.887E-05, 1.352E+02, 5.587E+03
 5.620E+00, 9.900E-05, 1.344E+02, 5.612E+03
