s,m/s,,s
Time,error,iter,cputime
 6.880E+00, 1.296E-02, 6.105E+00, 7.933E+03
 6.900E+00, 1.249E-02, 6.526E+00, 7.961E+03
 6.921E+00, 1.267E-02, 6.050E+00, 7.990E+03
 6.940E+00, 1.297E-02, 6.647E+00, 8.016E+03
 6.961E+00, 1.267E-02, 6.778E+00, 8.043E+03
 6.981E+00, 1.263E-02, 6.722E+00, 8.071E+03
 7.000E+00, 1.228E-02, 6.948E+00, 8.098E+03
 7.020E+00, 1.317E-02, 6.300E+00, 8.128E+03
 7.040E+00, 1.316E-02, 6.200E+00, 8.157E+03
 7.060E+00, 1.261E-02, 6.100E+00, 8.186E+03
 7.080E+00, 1.287E-02, 6.350E+00, 8.216E+03
 7.101E+00, 1.350E-02, 6.353E+00, 8.245E+03
 7.120E+00, 1.141E-02, 7.000E+00, 8.274E+03
 7.140E+00, 1.219E-02, 6.778E+00, 8.303E+03
 7.161E+00, 1.293E-02, 6.842E+00, 8.332E+03
 7.181E+00, 1.226E-02, 7.111E+00, 8.362E+03
 7.201E+00, 1.206E-02, 6.600E+00, 8.390E+03
 7.221E+00, 1.170E-02, 6.086E+00, 8.423E+03
 7.241E+00, 1.345E-02, 6.381E+00, 8.455E+03
 7.260E+00, 1.280E-02, 6.629E+00, 8.484E+03
 7.281E+00, 1.391E-02, 6.550E+00, 8.514E+03
 7.301E+00, 1.337E-02, 6.316E+00, 8.543E+03
 7.321E+00, 1.345E-02, 6.526E+00, 8.571E+03
 7.341E+00, 1.317E-02, 6.731E+00, 8.599E+03
 7.360E+00, 1.284E-02, 6.647E+00, 8.625E+03
 7.380E+00, 1.299E-02, 6.336E+00, 8.651E+03
 7.401E+00, 1.183E-02, 6.190E+00, 8.680E+03
 7.421E+00, 1.257E-02, 6.250E+00, 8.709E+03
 7.440E+00, 1.197E-02, 6.150E+00, 8.738E+03
 7.460E+00, 1.214E-02, 5.900E+00, 8.767E+03
 7.481E+00, 1.272E-02, 5.857E+00, 8.795E+03
 7.500E+00, 1.327E-02, 6.010E+00, 8.822E+03
 7.521E+00, 1.202E-02, 6.421E+00, 8.849E+03
 7.540E+00, 1.333E-02, 6.167E+00, 8.877E+03
 7.561E+00, 1.260E-02, 6.053E+00, 8.904E+03
 7.580E+00, 1.170E-02, 6.444E+00, 8.931E+03
 7.601E+00, 1.222E-02, 6.053E+00, 8.959E+03
 7.620E+00, 1.165E-02, 6.000E+00, 8.985E+03
 7.641E+00, 1.326E-02, 6.526E+00, 9.012E+03
 7.661E+00, 1.303E-02, 6.333E+00, 9.040E+03
 7.680E+00, 1.280E-02, 6.556E+00, 9.068E+03
 7.701E+00, 1.298E-02, 6.644E+00, 9.096E+03
 7.720E+00, 1.248E-02, 6.688E+00, 9.123E+03
 7.740E+00, 1.296E-02, 6.824E+00, 9.148E+03
 7.761E+00, 1.320E-02, 6.824E+00, 9.175E+03
 7.781E+00, 1.320E-02, 7.235E+00, 9.202E+03
 7.800E+00, 1.326E-02, 7.188E+00, 9.229E+03
 7.821E+00, 1.259E-02, 7.242E+00, 9.256E+03
 7.840E+00, 1.285E-02, 6.778E+00, 9.286E+03
