s,m/s,,s
Time,error,iter,cputime
 5.880E+00, 1.599E-15, 1.000E+00, 4.866E+03
 5.901E+00, 1.776E-15, 1.000E+00, 4.887E+03
 5.920E+00, 1.776E-15, 1.000E+00, 4.906E+03
 5.940E+00, 1.903E-15, 1.000E+00, 4.928E+03
 5.961E+00, 1.861E-15, 1.000E+00, 4.950E+03
 5.981E+00, 1.776E-15, 1.000E+00, 4.972E+03
 6.000E+00, 1.776E-15, 1.000E+00, 4.994E+03
 6.020E+00, 1.776E-15, 1.000E+00, 5.016E+03
 6.040E+00, 1.692E-15, 1.000E+00, 5.039E+03
 6.061E+00, 1.692E-15, 1.000E+00, 5.062E+03
 6.081E+00, 1.607E-15, 1.000E+00, 5.085E+03
 6.100E+00, 1.643E-15, 1.000E+00, 5.106E+03
 6.120E+00, 1.734E-15, 1.000E+00, 5.128E+03
 6.141E+00, 1.735E-15, 1.000E+00, 5.150E+03
 6.161E+00, 1.636E-15, 1.000E+00, 5.171E+03
 6.181E+00, 1.776E-15, 1.000E+00, 5.190E+03
 6.200E+00, 1.776E-15, 1.000E+00, 5.209E+03
 6.220E+00, 1.672E-15, 1.000E+00, 5.227E+03
 6.241E+00, 1.579E-15, 1.000E+00, 5.245E+03
 6.260E+00, 1.776E-15, 1.000E+00, 5.264E+03
 6.280E+00, 1.776E-15, 1.000E+00, 5.283E+03
 6.301E+00, 1.821E-15, 1.000E+00, 5.304E+03
 6.320E+00, 1.730E-15, 1.000E+00, 5.324E+03
 6.340E+00, 1.870E-15, 1.000E+00, 5.344E+03
 6.360E+00, 1.601E-15, 1.000E+00, 5.365E+03
 6.380E+00, 1.574E-15, 1.000E+00, 5.387E+03
 6.400E+00, 1.691E-15, 1.000E+00, 5.409E+03
 6.421E+00, 1.510E-15, 1.000E+00, 5.431E+03
 6.441E+00, 1.688E-15, 1.000E+00, 5.452E+03
 6.461E+00, 1.865E-15, 1.000E+00, 5.473E+03
 6.481E+00, 1.776E-15, 1.000E+00, 5.496E+03
 6.500E+00, 1.655E-15, 1.000E+00, 5.519E+03
 6.520E+00, 1.646E-15, 1.000E+00, 5.541E+03
 6.541E+00, 1.730E-15, 1.000E+00, 5.562E+03
 6.560E+00, 1.628E-15, 1.000E+00, 5.582E+03
 6.581E+00, 1.543E-15, 1.000E+00, 5.602E+03
 6.600E+00, 1.727E-15, 1.000E+00, 5.623E+03
 6.621E+00, 1.574E-15, 1.000E+00, 5.642E+03
 6.641E+00, 1.567E-15, 1.000E+00, 5.660E+03
 6.661E+00, 1.671E-15, 1.000E+00, 5.678E+03
 6.680E+00, 1.678E-15, 1.000E+00, 5.697E+03
 6.700E+00, 2.057E-15, 1.000E+00, 5.716E+03
 6.721E+00, 1.776E-15, 1.000E+00, 5.737E+03
 6.741E+00, 1.776E-15, 1.000E+00, 5.759E+03
 6.760E+00, 1.776E-15, 1.000E+00, 5.780E+03
 6.780E+00, 1.776E-15, 1.000E+00, 5.800E+03
 6.801E+00, 1.732E-15, 1.000E+00, 5.821E+03
 6.820E+00, 1.690E-15, 1.000E+00, 5.842E+03
 6.841E+00, 1.696E-15, 1.000E+00, 5.864E+03
 6.860E+00, 1.692E-15, 1.000E+00, 5.887E+03
 6.881E+00, 1.948E-15, 1.000E+00, 5.909E+03
 6.900E+00, 1.636E-15, 1.000E+00, 5.930E+03
 6.920E+00, 1.952E-15, 1.000E+00, 5.951E+03
 6.941E+00, 1.696E-15, 1.000E+00, 5.973E+03
 6.960E+00, 1.735E-15, 1.000E+00, 5.996E+03
 6.981E+00, 1.599E-15, 1.000E+00, 6.017E+03
 7.000E+00, 1.675E-15, 1.000E+00, 6.038E+03
 7.021E+00, 1.727E-15, 1.000E+00, 6.056E+03
 7.041E+00, 1.579E-15, 1.000E+00, 6.075E+03
 7.061E+00, 1.431E-15, 1.000E+00, 6.095E+03
 7.081E+00, 1.234E-15, 1.000E+00, 6.114E+03
 7.101E+00, 1.392E-15, 1.000E+00, 6.133E+03
 7.120E+00, 1.523E-15, 1.000E+00, 6.149E+03
 7.141E+00, 1.717E-15, 1.000E+00, 6.165E+03
 7.161E+00, 1.599E-15, 1.000E+00, 6.181E+03
 7.181E+00, 1.776E-15, 1.000E+00, 6.197E+03
 7.200E+00, 1.586E-15, 1.000E+00, 6.213E+03
 7.221E+00, 1.540E-15, 1.000E+00, 6.229E+03
 7.241E+00, 1.362E-15, 1.000E+00, 6.246E+03
 7.261E+00, 1.362E-15, 1.000E+00, 6.262E+03
 7.280E+00, 1.459E-15, 1.000E+00, 6.277E+03
 7.300E+00, 1.480E-15, 1.000E+00, 6.293E+03
 7.321E+00, 1.540E-15, 1.000E+00, 6.309E+03
 7.341E+00, 1.599E-15, 1.000E+00, 6.324E+03
 7.360E+00, 1.713E-15, 1.000E+00, 6.340E+03
 7.380E+00, 1.776E-15, 1.000E+00, 6.357E+03
 7.400E+00, 1.776E-15, 1.000E+00, 6.374E+03
 7.420E+00, 1.724E-15, 1.000E+00, 6.392E+03
 7.440E+00, 1.567E-15, 1.000E+00, 6.410E+03
 7.461E+00, 1.672E-15, 1.000E+00, 6.428E+03
 7.481E+00, 1.881E-15, 1.000E+00, 6.446E+03
 7.501E+00, 1.988E-15, 1.000E+00, 6.464E+03
 7.520E+00, 1.824E-15, 1.000E+00, 6.483E+03
 7.541E+00, 1.776E-15, 1.000E+00, 6.505E+03
 7.561E+00, 1.692E-15, 1.000E+00, 6.527E+03
 7.581E+00, 1.734E-15, 1.000E+00, 6.549E+03
 7.601E+00, 1.734E-15, 1.000E+00, 6.571E+03
 7.620E+00, 1.776E-15, 1.000E+00, 6.592E+03
 7.640E+00, 1.776E-15, 1.000E+00, 6.614E+03
 7.660E+00, 2.244E-15, 1.000E+00, 6.635E+03
 7.681E+00, 1.868E-15, 1.000E+00, 6.655E+03
 7.700E+00, 2.115E-15, 1.000E+00, 6.677E+03
 7.720E+00, 2.199E-15, 1.000E+00, 6.699E+03
 7.741E+00, 1.938E-15, 1.000E+00, 6.722E+03
 7.761E+00, 1.776E-15, 1.000E+00, 6.745E+03
 7.780E+00, 1.946E-15, 1.000E+00, 6.767E+03
 7.800E+00, 1.946E-15, 1.000E+00, 6.789E+03
 7.821E+00, 1.696E-15, 1.000E+00, 6.812E+03
 7.841E+00, 1.692E-15, 1.000E+00, 6.835E+03
 7.860E+00, 1.776E-15, 1.000E+00, 6.857E+03
 7.881E+00, 1.776E-15, 1.000E+00, 6.880E+03
 7.901E+00, 1.683E-15, 1.000E+00, 6.901E+03
 7.920E+00, 1.653E-15, 1.000E+00, 6.922E+03
 7.941E+00, 1.615E-15, 1.000E+00, 6.945E+03
 7.961E+00, 1.560E-15, 1.000E+00, 6.968E+03
 7.981E+00, 1.678E-15, 1.000E+00, 6.988E+03
 8.001E+00, 1.776E-15, 1.000E+00, 7.008E+03
 8.020E+00, 1.776E-15, 1.000E+00, 7.027E+03
 8.040E+00, 1.776E-15, 1.000E+00, 7.047E+03
 8.061E+00, 1.589E-15, 1.000E+00, 7.066E+03
 8.081E+00, 1.865E-15, 1.000E+00, 7.087E+03
 8.100E+00, 1.732E-15, 1.000E+00, 7.109E+03
 8.120E+00, 1.688E-15, 1.000E+00, 7.130E+03
 8.140E+00, 1.456E-15, 1.000E+00, 7.151E+03
 8.161E+00, 1.683E-15, 1.000E+00, 7.171E+03
 8.180E+00, 1.672E-15, 1.000E+00, 7.190E+03
 8.201E+00, 1.724E-15, 1.000E+00, 7.208E+03
 8.221E+00, 1.724E-15, 1.000E+00, 7.226E+03
 8.240E+00, 1.332E-15, 1.000E+00, 7.244E+03
 8.260E+00, 1.463E-15, 1.000E+00, 7.262E+03
 8.281E+00, 1.567E-15, 1.000E+00, 7.281E+03
 8.301E+00, 1.620E-15, 1.000E+00, 7.300E+03
 8.320E+00, 1.665E-15, 1.000E+00, 7.318E+03
 8.340E+00, 1.463E-15, 1.000E+00, 7.336E+03
 8.361E+00, 1.620E-15, 1.000E+00, 7.355E+03
 8.381E+00, 1.672E-15, 1.000E+00, 7.373E+03
 8.400E+00, 1.665E-15, 1.000E+00, 7.390E+03
 8.420E+00, 1.776E-15, 1.000E+00, 7.408E+03
 8.441E+00, 1.724E-15, 1.000E+00, 7.426E+03
 8.461E+00, 1.729E-15, 1.000E+00, 7.445E+03
 8.481E+00, 1.636E-15, 1.000E+00, 7.465E+03
 8.501E+00, 1.402E-15, 1.000E+00, 7.485E+03
 8.521E+00, 1.589E-15, 1.000E+00, 7.506E+03
 8.541E+00, 1.636E-15, 1.000E+00, 7.527E+03
 8.560E+00, 1.628E-15, 1.000E+00, 7.547E+03
 8.580E+00, 1.543E-15, 1.000E+00, 7.566E+03
 8.601E+00, 1.627E-15, 1.000E+00, 7.586E+03
 8.621E+00, 1.463E-15, 1.000E+00, 7.604E+03
 8.640E+00, 1.254E-15, 1.000E+00, 7.622E+03
 8.660E+00, 1.358E-15, 1.000E+00, 7.641E+03
