s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 2.7687407E-001, 5.3660474E-002, 7.6856866E-005, 1.0000000E+000, 1.3808562E+002, 4.5500000E+001, 4.8722207E-009, 5.5493675E-001
 2.7900982E-001, 5.3603371E-002, 5.6254980E-005, 1.0000000E+000, 1.4015165E+002, 4.5500000E+001, 5.2335796E-009, 5.5732086E-001
 2.8007769E-001, 5.3556312E-002, 5.9162821E-005, 1.0000000E+000, 1.4141491E+002, 4.6000000E+001, 4.5859564E-009, 5.5969425E-001
 2.8221343E-001, 5.3509016E-002, 6.1405907E-005, 1.0000000E+000, 1.4273090E+002, 4.6000000E+001, 5.1686694E-009, 5.6103493E-001
 2.8434918E-001, 5.3445642E-002, 6.4244935E-005, 1.0000000E+000, 1.4466644E+002, 4.6000000E+001, 5.5956941E-009, 5.6190950E-001
 2.8648492E-001, 5.3381894E-002, 6.5336238E-005, 1.0000000E+000, 1.4623276E+002, 4.6000000E+001, 7.5901781E-009, 5.6551088E-001
 2.8862067E-001, 5.3317774E-002, 6.3548671E-005, 1.0000000E+000, 1.4844563E+002, 4.6000000E+001, 9.4612976E-009, 5.6817017E-001
 2.9075641E-001, 5.3253284E-002, 6.2039136E-005, 1.0000000E+000, 1.5007962E+002, 4.6500000E+001, 6.1823966E-009, 5.6405389E-001
 2.9289215E-001, 5.3188426E-002, 6.2294897E-005, 1.0000000E+000, 1.5199576E+002, 4.7000000E+001, 3.0228926E-009, 5.6114893E-001
 2.9502790E-001, 5.3123202E-002, 6.3256498E-005, 1.0000000E+000, 1.5361130E+002, 4.7000000E+001, 3.0383644E-009, 5.6111469E-001
 2.9609577E-001, 5.3074056E-002, 6.3718729E-005, 1.0000000E+000, 1.5499218E+002, 4.7000000E+001, 3.1816765E-009, 5.6159651E-001
 2.9823151E-001, 5.3024684E-002, 6.3767537E-005, 1.0000000E+000, 1.5632620E+002, 4.7000000E+001, 3.4405496E-009, 5.6246531E-001
 3.0036726E-001, 5.2958554E-002, 6.3625243E-005, 1.0000000E+000, 1.5815848E+002, 4.7000000E+001, 3.7954860E-009, 5.6356899E-001
