s,Pa,m/s,
Time,"pres","error","iter"
 4.6067684E-001, 5.0559681E-002, 1.8983824E-004, 1.0000000E+000
 4.6222551E-001, 5.0207171E-002, 3.4269441E-004, 1.0000000E+000
 4.6454850E-001, 4.9662942E-002, 4.8690284E-004, 2.0000000E+000
 4.6609716E-001, 4.8038161E-002, 6.0705578E-004, 4.0000000E+000
 4.6842016E-001, 4.5616545E-002, 7.2364964E-004, 4.0000000E+000
 4.7074315E-001, 4.2169414E-002, 8.1439802E-004, 4.0000000E+000
 4.7229182E-001, 3.9002962E-002, 8.4196219E-004, 4.0000000E+000
 4.7461481E-001, 3.5763051E-002, 8.2416699E-004, 4.0000000E+000
 4.7616347E-001, 3.2633590E-002, 7.7460132E-004, 4.0000000E+000
 4.7848647E-001, 2.9795882E-002, 6.9809352E-004, 4.0000000E+000
 4.8003513E-001, 2.7322612E-002, 6.0285206E-004, 4.0000000E+000
 4.8235812E-001, 2.5908998E-002, 5.0095823E-004, 2.3333333E+000
 4.8444881E-001, 2.5435208E-002, 4.0303742E-004, 1.0000000E+000
 4.8653951E-001, 2.5137852E-002, 2.8010931E-004, 1.0000000E+000
 4.8863020E-001, 2.4947215E-002, 1.3365301E-004, 1.0000000E+000
 4.9002399E-001, 2.4867300E-002, 8.2439938E-005, 1.0000000E+000
 4.9211468E-001, 2.4865500E-002, 1.7852453E-004, 1.0000000E+000
 4.9420537E-001, 2.4955093E-002, 3.1937138E-004, 1.0000000E+000
 4.9629606E-001, 2.5416433E-002, 4.6151948E-004, 2.0000000E+000
 4.9838675E-001, 2.8011699E-002, 5.7931343E-004, 4.0000000E+000
 5.0047744E-001, 3.1189133E-002, 6.6681911E-004, 4.0000000E+000
 5.0256813E-001, 3.4466777E-002, 7.1061195E-004, 4.0000000E+000
 5.0465882E-001, 3.7683221E-002, 7.0869125E-004, 4.0000000E+000
 5.0605261E-001, 4.0237067E-002, 6.7219273E-004, 4.0000000E+000
 5.0814330E-001, 4.2587260E-002, 6.0180532E-004, 4.0000000E+000
 5.1023399E-001, 4.4825508E-002, 4.8975398E-004, 2.0000000E+000
 5.1232468E-001, 4.5119849E-002, 3.7936050E-004, 1.0000000E+000
 5.1441537E-001, 4.5100635E-002, 2.5788182E-004, 1.0000000E+000
 5.1650606E-001, 4.5015031E-002, 1.4499518E-004, 1.0000000E+000
 5.1859676E-001, 4.4862484E-002, 1.0574202E-004, 1.0000000E+000
 5.2068745E-001, 4.4641799E-002, 1.8003377E-004, 1.0000000E+000
 5.2208124E-001, 4.4406238E-002, 2.7636718E-004, 1.0000000E+000
 5.2417193E-001, 4.4117801E-002, 3.7079311E-004, 1.0000000E+000
 5.2626262E-001, 4.3666793E-002, 4.7362520E-004, 1.0000000E+000
 5.2835331E-001, 4.2572713E-002, 5.2144667E-004, 4.0000000E+000
 5.3044400E-001, 4.0261536E-002, 5.7635586E-004, 4.0000000E+000
 5.3253469E-001, 3.7333577E-002, 5.8853168E-004, 4.0000000E+000
 5.3462538E-001, 3.4117490E-002, 5.5627422E-004, 4.0000000E+000
 5.3601917E-001, 3.1751028E-002, 5.0908472E-004, 3.5000000E+000
 5.3810986E-001, 3.1047226E-002, 4.8942768E-004, 1.0000000E+000
