s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 2.6720463E-001, 5.3921607E-002, 0.0000000E+000, 1.0000000E+000, 7.4783226E+002, 4.3000000E+001, 2.1088304E-009, 5.2752427E-001
 2.6839487E-001, 5.3887755E-002, 0.0000000E+000, 1.0000000E+000, 7.5414244E+002, 4.3000000E+001, 2.4374868E-009, 5.2925264E-001
 2.6958510E-001, 5.3853782E-002, 0.0000000E+000, 1.0000000E+000, 7.6066685E+002, 4.3000000E+001, 2.8407831E-009, 5.3108908E-001
 2.7077534E-001, 5.3819689E-002, 0.0000000E+000, 1.0000000E+000, 7.6795781E+002, 4.3000000E+001, 3.2753815E-009, 5.3279875E-001
 2.7315581E-001, 5.3768310E-002, 0.0000000E+000, 1.0000000E+000, 7.7764857E+002, 4.3000000E+001, 4.0957414E-009, 5.3546415E-001
 2.7434604E-001, 5.3716692E-002, 0.0000000E+000, 1.0000000E+000, 7.8934038E+002, 4.3000000E+001, 5.0837618E-009, 5.3811895E-001
 2.7672651E-001, 5.3664776E-002, 0.0000000E+000, 1.0000000E+000, 7.9821339E+002, 4.3000000E+001, 6.2728021E-009, 5.4064748E-001
 2.7886239E-001, 5.3607689E-002, 0.0000000E+000, 1.0000000E+000, 8.1383287E+002, 4.3000000E+001, 7.3786645E-009, 5.4396723E-001
 2.8099828E-001, 5.3544903E-002, 0.0000000E+000, 1.0000000E+000, 8.2761574E+002, 4.3000000E+001, 9.2908623E-009, 5.4680620E-001
 2.8206622E-001, 5.3497577E-002, 0.0000000E+000, 1.0000000E+000, 8.3891881E+002, 4.4000000E+001, 1.5956725E-009, 5.3255606E-001
 2.8420210E-001, 5.3450016E-002, 0.0000000E+000, 1.0000000E+000, 8.4981590E+002, 4.4000000E+001, 1.8391530E-009, 5.3420189E-001
 2.8633798E-001, 5.3386289E-002, 0.0000000E+000, 1.0000000E+000, 8.6421586E+002, 4.4000000E+001, 2.1992248E-009, 5.3628834E-001
 2.8847387E-001, 5.3322190E-002, 0.0000000E+000, 1.0000000E+000, 8.7821324E+002, 4.4000000E+001, 2.6276899E-009, 5.3837544E-001
 2.9060975E-001, 5.3257721E-002, 0.0000000E+000, 1.0000000E+000, 8.9257594E+002, 4.4000000E+001, 3.1349506E-009, 5.4045093E-001
 2.9274563E-001, 5.3192884E-002, 0.0000000E+000, 1.0000000E+000, 9.0739259E+002, 4.4000000E+001, 3.7125928E-009, 5.4244589E-001
 2.9488152E-001, 5.3127681E-002, 0.0000000E+000, 1.0000000E+000, 9.2199440E+002, 4.4000000E+001, 4.3774691E-009, 5.4439551E-001
 2.9701740E-001, 5.3062113E-002, 0.0000000E+000, 1.0000000E+000, 9.3587660E+002, 4.4000000E+001, 5.1215587E-009, 5.4625416E-001
 2.9808534E-001, 5.3012711E-002, 0.0000000E+000, 1.0000000E+000, 9.4578398E+002, 4.4000000E+001, 5.7181529E-009, 5.4756767E-001
 3.0022122E-001, 5.2963084E-002, 0.0000000E+000, 1.0000000E+000, 9.5597258E+002, 4.4000000E+001, 6.3325853E-009, 5.4876816E-001
 3.0235711E-001, 5.2896616E-002, 0.0000000E+000, 1.0000000E+000, 9.7064354E+002, 4.4000000E+001, 7.1088627E-009, 5.5012721E-001
 3.0449299E-001, 5.2829791E-002, 0.0000000E+000, 1.0000000E+000, 9.8473384E+002, 4.4000000E+001, 7.8235918E-009, 5.5123974E-001
 3.0662887E-001, 5.2762612E-002, 0.0000000E+000, 1.0000000E+000, 9.9745653E+002, 4.4000000E+001, 8.9743671E-009, 5.5286574E-001
 3.0876476E-001, 5.2695080E-002, 0.0000000E+000, 1.0000000E+000, 1.0108296E+003, 4.5000000E+001, 2.6325842E-009, 5.4496026E-001
 3.1090064E-001, 5.2627198E-002, 0.0000000E+000, 1.0000000E+000, 1.0218761E+003, 4.5000000E+001, 3.9416787E-009, 5.4985262E-001
 3.1303652E-001, 5.2558967E-002, 0.0000000E+000, 1.0000000E+000, 1.0242713E+003, 4.5000000E+001, 5.1727650E-009, 5.5311431E-001
 3.1410446E-001, 5.2507578E-002, 0.0000000E+000, 1.0000000E+000, 1.0259137E+003, 4.5000000E+001, 6.1449615E-009, 5.5519358E-001
 3.1624035E-001, 5.2455974E-002, 0.0000000E+000, 1.0000000E+000, 1.0275050E+003, 4.5000000E+001, 7.2143313E-009, 5.5709649E-001
 3.1837623E-001, 5.2386883E-002, 0.0000000E+000, 1.0000000E+000, 1.0295711E+003, 4.5000000E+001, 8.8194024E-009, 5.5950552E-001
 3.2040384E-001, 5.2323391E-002, 0.0000000E+000, 1.0000000E+000, 1.0389883E+003, 4.6000000E+001, 1.7274408E-009, 5.4741879E-001
 3.2232318E-001, 5.2263621E-002, 0.0000000E+000, 1.0000000E+000, 1.0540303E+003, 4.6000000E+001, 1.8946074E-009, 5.4910853E-001
 3.2424252E-001, 5.2200707E-002, 0.0000000E+000, 1.0000000E+000, 1.0676076E+003, 4.6000000E+001, 2.1958067E-009, 5.5079896E-001
