s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 2.9062548E-001, 5.3254968E-002, 9.9325235E-006, 1.0000000E+001, 5.6295498E+002
 2.9276139E-001, 5.3202349E-002, 9.9782059E-006, 1.0000000E+001, 5.6601131E+002
 2.9489730E-001, 5.3119370E-002, 9.9281450E-006, 3.0000000E+000, 5.6846273E+002
 2.9703321E-001, 5.3058645E-002, 9.9530490E-006, 9.5000000E+000, 5.7152239E+002
 2.9810117E-001, 5.3014124E-002, 9.9734647E-006, 3.0000000E+000, 5.7334630E+002
 3.0023708E-001, 5.2958098E-002, 9.9044329E-006, 1.0000000E+001, 5.7556771E+002
 3.0237299E-001, 5.2897223E-002, 9.9555513E-006, 9.0000000E+000, 5.7817806E+002
 3.0450890E-001, 5.2816057E-002, 9.9731923E-006, 7.5000000E+000, 5.8089769E+002
 3.0664481E-001, 5.2748987E-002, 9.9740714E-006, 8.5000000E+000, 5.8343956E+002
 3.0878072E-001, 5.2680449E-002, 9.9435643E-006, 7.5000000E+000, 5.8621441E+002
 3.1091663E-001, 5.2623507E-002, 9.9375421E-006, 8.0000000E+000, 5.8904061E+002
 3.1305254E-001, 5.2554904E-002, 9.9534945E-006, 7.5000000E+000, 5.9164052E+002
 3.1412050E-001, 5.2499534E-002, 9.9291967E-006, 3.0000000E+000, 5.9352215E+002
 3.1625641E-001, 5.2439343E-002, 9.9741342E-006, 8.0000000E+000, 5.9558568E+002
 3.1839232E-001, 5.2369296E-002, 9.9365893E-006, 8.0000000E+000, 5.9862743E+002
 3.2041996E-001, 5.2322447E-002, 9.9744412E-006, 9.1529148E+000, 6.0158819E+002
 3.2233932E-001, 5.2237382E-002, 9.8453005E-006, 3.0000000E+000, 6.0447976E+002
 3.2425869E-001, 5.2206374E-002, 9.9739417E-006, 9.5000000E+000, 6.0758861E+002
 3.2617806E-001, 5.2125887E-002, 9.9145243E-006, 3.0000000E+000, 6.1010152E+002
 3.2809743E-001, 5.2069961E-002, 9.9543879E-006, 8.0000000E+000, 6.1300301E+002
 3.3001680E-001, 5.2025782E-002, 9.9820426E-006, 9.0000000E+000, 6.1592528E+002
 3.3289585E-001, 5.1925946E-002, 9.9159302E-006, 5.6666667E+000, 6.1911044E+002
 3.3481522E-001, 5.1837078E-002, 9.9786431E-006, 6.5000000E+000, 6.2229705E+002
 3.3673458E-001, 5.1768167E-002, 9.9563692E-006, 3.0000000E+000, 6.2504860E+002
 3.3865395E-001, 5.1708857E-002, 9.9410789E-006, 8.5000000E+000, 6.2829796E+002
 3.4057332E-001, 5.1652981E-002, 9.9634662E-006, 8.0000000E+000, 6.3124041E+002
 3.4249269E-001, 5.1575337E-002, 9.9743379E-006, 6.5000000E+000, 6.3431423E+002
 3.4441206E-001, 5.1522372E-002, 9.9707342E-006, 7.0000000E+000, 6.3720043E+002
 3.4633142E-001, 5.1461241E-002, 9.9690386E-006, 7.0000000E+000, 6.4005385E+002
 3.4825079E-001, 5.1388176E-002, 9.9818990E-006, 7.0000000E+000, 6.4279925E+002
 3.5017016E-001, 5.1317399E-002, 9.9684574E-006, 3.5000000E+000, 6.4556997E+002
 3.5208953E-001, 5.1250567E-002, 9.9715300E-006, 7.5000000E+000, 6.4870488E+002
 3.5400890E-001, 5.1191874E-002, 9.9915526E-006, 8.0000000E+000, 6.5147133E+002
 3.5688795E-001, 5.1092982E-002, 9.9673500E-006, 6.6666667E+000, 6.5509461E+002
 3.5880732E-001, 5.1002530E-002, 9.9696377E-006, 6.0000000E+000, 6.5874700E+002
 3.6072668E-001, 5.0955233E-002, 9.9869937E-006, 8.0000000E+000, 6.6249495E+002
 3.6264605E-001, 5.0882937E-002, 9.9888734E-006, 6.5000000E+000, 6.6552852E+002
