s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 5.29808529302468E+000, 9.89377442870124E-001, 4.90694225103320E-001, 9.89377442870124E-001, 4.88594466626476E-001, 6.40297216670025E-002, 1.00000000000000E+000
 5.34632087547556E+000, 9.89862554631988E-001, 5.25424037734060E-001, 9.89862554631988E-001, 5.25424037734060E-001, 6.97645655359502E-002, 1.00000000000000E+000
 5.39938001617154E+000, 9.90478413234193E-001, 5.65928366867062E-001, 9.90478413234193E-001, 5.65928366867062E-001, 7.60521714052160E-002, 1.00000000000000E+000
 5.45243915686751E+000, 9.91031501953602E-001, 6.05430271021384E-001, 9.91031501953602E-001, 6.05430271021384E-001, 9.34606637387063E-002, 1.00000000000000E+000
 5.50549829756348E+000, 9.91510680664927E-001, 6.43241293463331E-001, 9.91510680664927E-001, 6.43241293463331E-001, 7.63011364069743E-002, 1.00000000000000E+000
 5.55855743825945E+000, 9.91863548029438E-001, 6.79111100631375E-001, 9.91863548029438E-001, 6.79111100631375E-001, 8.23052609190185E-002, 1.00000000000000E+000
 5.61161657895542E+000, 9.92220511138969E-001, 7.12040894394493E-001, 9.92220511138969E-001, 7.12040894394493E-001, 7.84144452185330E-002, 1.00000000000000E+000
 5.66467571965139E+000, 9.92484163198882E-001, 7.41248337947206E-001, 9.92484163198882E-001, 7.41248337947206E-001, 7.59782766808982E-002, 1.00000000000000E+000
 5.71773486034736E+000, 9.92679093361832E-001, 7.66179278192030E-001, 9.92679093361832E-001, 7.66179278192030E-001, 8.48429157155039E-002, 1.00000000000000E+000
 5.77079400104334E+000, 9.92802417046868E-001, 7.86537358943750E-001, 9.92802417046868E-001, 7.86537358943750E-001, 8.61390228419805E-002, 1.00000000000000E+000
