s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 9.37948189923235E+000, 9.99881519615673E-001, 9.99875490767528E-001, 9.99881519615673E-001, 9.99875490767528E-001, 9.19862884334322E-004, 1.10000000000000E+001
 9.43869247730947E+000, 9.99896781651750E-001, 1.00322419282425E+000, 9.99896781651750E-001, 1.00322419282425E+000, 8.37512482249059E-004, 1.30000000000000E+001
 9.49790305538659E+000, 9.99916249669994E-001, 1.00615242517033E+000, 9.99916249669994E-001, 1.00615242517033E+000, 9.91402253863516E-004, 1.20000000000000E+001
 9.55711363346370E+000, 9.99940996801293E-001, 1.00849307077216E+000, 9.99940996801293E-001, 1.00849307077216E+000, 9.32659572399519E-004, 1.30000000000000E+001
 9.61632421154082E+000, 9.99971138524657E-001, 1.01020188246758E+000, 9.99971138524657E-001, 1.01020188246758E+000, 9.77833739454370E-004, 1.20000000000000E+001
 9.68145584742565E+000, 1.00000852296623E+000, 1.01140990629001E+000, 1.00000852296623E+000, 1.01140990629001E+000, 9.63014717407118E-004, 1.20000000000000E+001
 9.74658748331048E+000, 1.00004610957036E+000, 1.01208944863019E+000, 1.00004610957036E+000, 1.01208944863019E+000, 9.77126012230878E-004, 1.20000000000000E+001
 9.81171911919531E+000, 1.00008107349541E+000, 1.01231714996904E+000, 1.00008107349541E+000, 1.01231714996904E+000, 8.99933129952353E-004, 1.20000000000000E+001
 9.87685075508014E+000, 1.00011032774954E+000, 1.01209332890618E+000, 1.00011032774954E+000, 1.01209332890618E+000, 8.90235882837764E-004, 1.10000000000000E+001
 9.94198239096497E+000, 1.00013249898338E+000, 1.01147519678652E+000, 1.00013249898338E+000, 1.01147519678652E+000, 9.12143105822327E-004, 1.00000000000000E+001
 1.00071140268498E+001, 1.00014737934184E+000, 1.01038823947163E+000, 1.00014737934184E+000, 1.01038823947163E+000, 9.35827126614663E-004, 1.00000000000000E+001
 1.00722456627346E+001, 1.00015599516328E+000, 1.00903539799380E+000, 1.00015599516328E+000, 1.00874763218254E+000, 8.93826173673432E-004, 1.00000000000000E+001
 1.01373772986195E+001, 1.00015938998243E+000, 1.00703644613598E+000, 1.00015938998243E+000, 1.00669144230049E+000, 8.98642989308638E-004, 1.00000000000000E+001
 1.02025089345043E+001, 1.00015752888092E+000, 1.00438948948422E+000, 1.00015752888092E+000, 1.00438948948422E+000, 9.01037811790406E-004, 1.10000000000000E+001
 1.02676405703891E+001, 1.00015073209252E+000, 1.00175498551610E+000, 1.00015073209252E+000, 1.00175498551610E+000, 9.82896918611642E-004, 1.10000000000000E+001
 1.03327722062740E+001, 1.00013974043980E+000, 9.98993488481649E-001, 1.00013974043980E+000, 9.98993488481649E-001, 9.92465681125765E-004, 1.10000000000000E+001
 1.03979038421588E+001, 1.00012505786745E+000, 9.96642087703596E-001, 1.00012505786745E+000, 9.96642087703596E-001, 9.81457002974695E-004, 1.20000000000000E+001
 1.04630354780436E+001, 1.00010775485980E+000, 9.95157485453354E-001, 1.00010775485980E+000, 9.95157485453354E-001, 9.65584600439273E-004, 1.20000000000000E+001
 1.05281671139284E+001, 1.00008888925394E+000, 9.95103095675380E-001, 1.00008888925394E+000, 9.95103095675380E-001, 9.99091622005954E-004, 1.00000000000000E+001
 1.05932987498133E+001, 1.00006797526988E+000, 9.96649374984424E-001, 1.00006797526988E+000, 9.96649374984424E-001, 9.45925201098596E-004, 1.00000000000000E+001
