s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 6.34734293326267E+000, 9.97919710713327E-001, 7.74514684793087E-001, 9.97919710713327E-001, 7.74514684793087E-001, 8.45111364509032E-002, 1.00000000000000E+000
 6.41122270832224E+000, 9.97931677910513E-001, 7.65622748204602E-001, 9.97931677910513E-001, 7.65622748204602E-001, 4.98840623757784E-002, 2.00000000000000E+000
 6.47510248338180E+000, 9.97927914743498E-001, 7.57476270136684E-001, 9.97927914743498E-001, 7.57476270136684E-001, 7.84446812522644E-002, 1.00000000000000E+000
 6.53898225844136E+000, 9.97651161409149E-001, 7.49313547508801E-001, 9.97651161409149E-001, 7.49313547508801E-001, 4.91785767325474E-002, 2.00000000000000E+000
 6.60286203350093E+000, 9.97312152120400E-001, 7.41972352260768E-001, 9.97312152120400E-001, 7.41972352260768E-001, 8.91460472141268E-002, 1.00000000000000E+000
 6.65867897818910E+000, 9.96894864431566E-001, 7.35492685145944E-001, 9.96894864431566E-001, 7.35492685145944E-001, 5.28209424513044E-002, 2.00000000000000E+000
 6.71449592287728E+000, 9.96503421366309E-001, 7.29481445267404E-001, 9.96503421366309E-001, 7.29481445267404E-001, 9.00661872369683E-002, 1.00000000000000E+000
 6.77031286756545E+000, 9.96238812485445E-001, 7.23967957730305E-001, 9.96238812485445E-001, 7.23967957730305E-001, 4.71860740399053E-002, 2.00000000000000E+000
 6.83171150672244E+000, 9.95953258713680E-001, 7.18573241589993E-001, 9.95953258713680E-001, 7.18573241589993E-001, 3.33635199755691E-002, 2.00000000000000E+000
 6.89311014587943E+000, 9.95682715328670E-001, 7.13905999741799E-001, 9.95682715328670E-001, 7.13905999741799E-001, 3.59665385441617E-002, 2.00000000000000E+000
 6.95450878503642E+000, 9.95372129088796E-001, 7.09586433217014E-001, 9.95372129088796E-001, 7.09586433217014E-001, 8.94380562217634E-002, 1.00000000000000E+000
 7.01590742419341E+000, 9.95260731407045E-001, 7.06140362919844E-001, 9.95260731407045E-001, 7.06140362919844E-001, 5.93829004492659E-002, 2.00000000000000E+000
 7.07730606335040E+000, 9.95116301778477E-001, 7.03028346493941E-001, 9.95116301778477E-001, 7.03028346493941E-001, 6.51968264374380E-002, 1.00000000000000E+000
 7.13870470250740E+000, 9.95126580718361E-001, 7.00693356611724E-001, 9.95126580718361E-001, 7.00693356611724E-001, 5.71533031770487E-002, 2.00000000000000E+000
 7.20010334166439E+000, 9.95118766530578E-001, 6.98733840037430E-001, 9.95118766530578E-001, 6.98733840037430E-001, 9.36636630338409E-002, 1.00000000000000E+000
 7.26150198082138E+000, 9.95284084527571E-001, 6.97378453802405E-001, 9.95284084527571E-001, 6.97378453802405E-001, 6.20955305810737E-002, 2.00000000000000E+000
 7.32290061997837E+000, 9.95486989888497E-001, 6.96599879367009E-001, 9.95486989888497E-001, 6.96599879367009E-001, 3.41220164395091E-002, 2.00000000000000E+000
 7.38429925913536E+000, 9.95634507725368E-001, 6.96424099044123E-001, 9.95634507725368E-001, 6.96424099044123E-001, 5.27522942245521E-002, 2.00000000000000E+000
 7.44569789829235E+000, 9.95866554427646E-001, 6.97097676324432E-001, 9.95866554427646E-001, 6.97097676324432E-001, 6.26859689326782E-002, 2.00000000000000E+000
 7.50709653744934E+000, 9.96160655395772E-001, 6.98687045102342E-001, 9.96160655395772E-001, 6.98687045102342E-001, 6.75892714387503E-002, 2.00000000000000E+000
 7.56849517660633E+000, 9.96556677116130E-001, 7.01271544164908E-001, 9.96556677116130E-001, 7.01271544164908E-001, 6.75376779861370E-002, 2.00000000000000E+000
 7.62989381576332E+000, 9.97073774400930E-001, 7.04914337874506E-001, 9.97073774400930E-001, 7.04914337874506E-001, 7.72631660000329E-002, 2.00000000000000E+000
 7.69129245492031E+000, 9.97642012079889E-001, 7.09618269643232E-001, 9.97642012079889E-001, 7.09618269643232E-001, 9.10599002810052E-002, 2.00000000000000E+000
 7.75269109407730E+000, 9.98245678572446E-001, 7.15309225494681E-001, 9.98245678572446E-001, 7.15309225494681E-001, 7.13939357471257E-002, 2.00000000000000E+000
 7.81408973323430E+000, 9.98797762211598E-001, 7.21870153143370E-001, 9.98797762211598E-001, 7.21870153143370E-001, 9.55098976978811E-002, 2.00000000000000E+000
 7.87548837239129E+000, 9.99256402276382E-001, 7.29181806345615E-001, 9.99256402276382E-001, 7.29181806345615E-001, 9.05299066564455E-002, 2.00000000000000E+000
 7.93688701154828E+000, 9.99664689183852E-001, 7.37093297220977E-001, 9.99664689183852E-001, 7.37093297220977E-001, 8.99385073571743E-002, 2.00000000000000E+000
 7.99828565070527E+000, 9.99989527356352E-001, 7.45458721460145E-001, 9.99989527356352E-001, 7.45458721460145E-001, 9.87486721861185E-002, 2.00000000000000E+000
 8.05968428986226E+000, 1.00022675732211E+000, 7.54141778650159E-001, 1.00022675732211E+000, 7.54141778650159E-001, 6.84498239260608E-002, 2.00000000000000E+000
 8.12108292901925E+000, 1.00038529457448E+000, 7.63032062174931E-001, 1.00038529457448E+000, 7.63032062174931E-001, 9.36853843084030E-002, 2.00000000000000E+000
 8.18248156817624E+000, 1.00050528619642E+000, 7.72042618247616E-001, 1.00050528619642E+000, 7.72042618247616E-001, 8.14766681582990E-002, 2.00000000000000E+000
 8.24388020733323E+000, 1.00055699018399E+000, 7.81045008003978E-001, 1.00055699018399E+000, 7.81045008003978E-001, 7.56650291685660E-002, 2.00000000000000E+000
 8.30527884649022E+000, 1.00058014332703E+000, 7.89934671695816E-001, 1.00058014332703E+000, 7.89934671695816E-001, 8.26222430706329E-002, 2.00000000000000E+000
