s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 5.24975842392777E+000, 9.99938830764569E-001, 8.79293608010156E-001, 9.99938830764569E-001, 8.79293608010156E-001, 8.80981536391072E-002, 1.00000000000000E+000
 5.30202545818651E+000, 9.99944902004219E-001, 8.72239148878904E-001, 9.99944902004219E-001, 8.72239148878904E-001, 7.81992692489588E-002, 1.00000000000000E+000
 5.35429249244525E+000, 9.99950370669128E-001, 8.65801090614555E-001, 9.99950370669128E-001, 8.65801090614555E-001, 8.40791939070109E-002, 1.00000000000000E+000
 5.40655952670400E+000, 9.99955296562436E-001, 8.60007949635389E-001, 9.99955296562436E-001, 8.60007949635389E-001, 7.55796147594108E-002, 1.00000000000000E+000
 5.45882656096274E+000, 9.99959733552591E-001, 8.54870873347529E-001, 9.99959733552591E-001, 8.54870873347529E-001, 5.96251074224610E-002, 1.00000000000000E+000
 5.51109359522148E+000, 9.99963730162191E-001, 8.50398726995658E-001, 9.99963730162191E-001, 8.50398726995658E-001, 6.34203366065154E-002, 1.00000000000000E+000
 5.56336062948022E+000, 9.99967330098422E-001, 8.46602240282905E-001, 9.99967330098422E-001, 8.46602240282905E-001, 6.17256087271749E-002, 1.00000000000000E+000
 5.61562766373897E+000, 9.99970572730872E-001, 8.43481129919759E-001, 9.99970572730872E-001, 8.43481129919759E-001, 6.29771115509428E-002, 1.00000000000000E+000
 5.66789469799771E+000, 9.99973493521953E-001, 8.41013630550215E-001, 9.99973493521953E-001, 8.41013630550215E-001, 6.96058735307341E-002, 1.00000000000000E+000
 5.72016173225645E+000, 9.99976124414619E-001, 8.39313931094159E-001, 9.99976124414619E-001, 8.39313931094159E-001, 6.30028140259091E-002, 1.00000000000000E+000
 5.77242876651519E+000, 9.99978494181616E-001, 8.38201898250821E-001, 9.99978494181616E-001, 8.38201898250821E-001, 8.73764766943292E-002, 1.00000000000000E+000
 5.82469580077393E+000, 9.99980628740088E-001, 8.37669441586571E-001, 9.99980628740088E-001, 8.37669441586571E-001, 8.20634581791528E-002, 1.00000000000000E+000
 5.87696283503268E+000, 9.99982551434959E-001, 8.37729075330088E-001, 9.99982551434959E-001, 8.37729075330088E-001, 4.81602554102913E-002, 2.00000000000000E+000
 5.93445657271729E+000, 9.99984283294205E-001, 8.38354155157058E-001, 9.99984283294205E-001, 8.38354155157058E-001, 4.49051873132393E-002, 1.00000000000000E+000
 5.99195031040191E+000, 9.99985990473139E-001, 8.39603114063766E-001, 9.99985990473139E-001, 8.39603114063766E-001, 8.46204970936120E-002, 1.00000000000000E+000
 6.04944404808653E+000, 9.99987512216158E-001, 8.41401624489956E-001, 9.99987512216158E-001, 8.41401624489956E-001, 9.35546390923623E-002, 1.00000000000000E+000
 6.11268715953960E+000, 9.99988868665306E-001, 8.43885792899343E-001, 9.99988868665306E-001, 8.43885792899343E-001, 9.16358313341936E-002, 1.00000000000000E+000
 6.17593027099268E+000, 9.99990191213996E-001, 8.46728264754797E-001, 9.99990191213996E-001, 8.46728264754797E-001, 9.95221191266936E-002, 1.00000000000000E+000
 6.23917338244576E+000, 9.99991356627219E-001, 8.49652430039025E-001, 9.99991356627219E-001, 8.49652430039025E-001, 4.36189407923604E-002, 2.00000000000000E+000
 6.30241649389884E+000, 9.99992383574499E-001, 8.52714797348270E-001, 9.99992383574499E-001, 8.52714797348270E-001, 8.21275069840268E-002, 1.00000000000000E+000
 6.36565960535191E+000, 9.99993288507234E-001, 8.55720307867745E-001, 9.99993288507234E-001, 8.55720307867745E-001, 4.97912345037836E-002, 2.00000000000000E+000
 6.42890271680499E+000, 9.99994085922234E-001, 8.58615717827154E-001, 9.99994085922234E-001, 8.58615717827154E-001, 9.38925028414641E-002, 1.00000000000000E+000
 6.49214582825807E+000, 9.99994788593926E-001, 8.61384997912253E-001, 9.99994788593926E-001, 8.61384997912253E-001, 5.04684012133096E-002, 2.00000000000000E+000
 6.55538893971115E+000, 9.99995407778997E-001, 8.63844172782131E-001, 9.99995407778997E-001, 8.63844172782131E-001, 6.83804423736520E-002, 1.00000000000000E+000
 6.61863205116423E+000, 9.99995953396709E-001, 8.65929423577777E-001, 9.99995953396709E-001, 8.65929423577777E-001, 7.95200737405091E-002, 1.00000000000000E+000
 6.68187516261730E+000, 9.99996434187803E-001, 8.67986579740761E-001, 9.99996434187803E-001, 8.67986579740761E-001, 4.67111791689581E-002, 2.00000000000000E+000
 6.74511827407038E+000, 9.99996857854515E-001, 8.69817611944488E-001, 9.99996857854515E-001, 8.69817611944488E-001, 4.94778625368288E-002, 2.00000000000000E+000
 6.80836138552346E+000, 9.99997231183961E-001, 8.71131580603731E-001, 9.99997231183961E-001, 8.71131580603731E-001, 8.51003155612007E-002, 1.00000000000000E+000
 6.87160449697654E+000, 9.99997560156867E-001, 8.72558069079242E-001, 9.99997560156867E-001, 8.72558069079242E-001, 6.49605156015367E-002, 2.00000000000000E+000
 6.93484760842961E+000, 9.99997850043371E-001, 8.74003118956332E-001, 9.99997850043371E-001, 8.74003118956332E-001, 4.36172218708009E-002, 2.00000000000000E+000
 6.99809071988269E+000, 9.99998105487454E-001, 8.75434311327135E-001, 9.99998105487454E-001, 8.75434311327135E-001, 4.60835645471802E-002, 2.00000000000000E+000
 7.06133383133577E+000, 9.99998330581330E-001, 8.76884609314156E-001, 9.99998330581330E-001, 8.76884609314156E-001, 4.45565925188800E-002, 2.00000000000000E+000
 7.13090125393416E+000, 9.99998528931010E-001, 8.78419788398707E-001, 9.99998528931010E-001, 8.78419788398707E-001, 4.88771949951965E-002, 2.00000000000000E+000
