s,kg/s,,kg/s,,kg
Time,MF IN TRACER,MASS IN TRACER,MF OUT TRACER,MASS OUT TRACER,MASS VOL TRACER
 3.4934245E-001, 1.2551228E+002, 4.3846762E+001,-1.0191436E+002,-1.8198955E+001, 2.5495686E+001
 3.5175777E-001, 1.2551228E+002, 4.4149913E+001,-1.0197496E+002,-1.8445257E+001, 2.5552605E+001
 3.5417308E-001, 1.2551228E+002, 4.4453065E+001,-1.0203090E+002,-1.8691693E+001, 2.5609384E+001
 3.5658840E-001, 1.2551228E+002, 4.4756217E+001,-1.0208526E+002,-1.8938261E+001, 2.5666031E+001
 3.5900372E-001, 1.2551228E+002, 4.5059369E+001,-1.0214191E+002,-1.9184966E+001, 2.5722548E+001
 3.6141903E-001, 1.2551228E+002, 4.5362520E+001,-1.0220379E+002,-1.9431821E+001, 2.5778924E+001
 3.6383435E-001, 1.2551228E+002, 4.5665672E+001,-1.0227420E+002,-1.9678845E+001, 2.5835141E+001
 3.6624966E-001, 1.2551228E+002, 4.5968824E+001,-1.0235421E+002,-1.9926063E+001, 2.5891179E+001
 3.6866498E-001, 1.2551228E+002, 4.6271976E+001,-1.0244329E+002,-2.0173496E+001, 2.5947012E+001
 3.7108029E-001, 1.2551228E+002, 4.6575127E+001,-1.0254141E+002,-2.0421166E+001, 2.6002619E+001
 3.7349561E-001, 1.2551228E+002, 4.6878279E+001,-1.0264823E+002,-2.0669094E+001, 2.6057979E+001
 3.7591092E-001, 1.2551228E+002, 4.7181431E+001,-1.0276324E+002,-2.0917299E+001, 2.6113070E+001
 3.7832624E-001, 1.2551228E+002, 4.7484583E+001,-1.0288561E+002,-2.1165800E+001, 2.6167874E+001
 3.8074155E-001, 1.2551228E+002, 4.7787734E+001,-1.0301398E+002,-2.1414612E+001, 2.6222374E+001
 3.8315687E-001, 1.2551228E+002, 4.8090886E+001,-1.0314554E+002,-2.1663741E+001, 2.6276558E+001
 3.8557219E-001, 1.2551228E+002, 4.8394038E+001,-1.0327749E+002,-2.1913188E+001, 2.6330422E+001
 3.8798750E-001, 1.2551228E+002, 4.8697190E+001,-1.0340623E+002,-2.2162947E+001, 2.6383970E+001
 3.9040282E-001, 1.2551228E+002, 4.9000341E+001,-1.0352848E+002,-2.2413001E+001, 2.6437212E+001
 3.9281813E-001, 1.2551228E+002, 4.9303493E+001,-1.0364139E+002,-2.2663328E+001, 2.6490168E+001
 3.9523345E-001, 1.2551228E+002, 4.9606645E+001,-1.0374331E+002,-2.2913901E+001, 2.6542863E+001
 3.9764876E-001, 1.2551228E+002, 4.9909797E+001,-1.0383466E+002,-2.3164694E+001, 2.6595326E+001
 4.0006408E-001, 1.2551228E+002, 5.0212948E+001,-1.0391702E+002,-2.3415686E+001, 2.6647579E+001
 4.0247939E-001, 1.2551228E+002, 5.0516100E+001,-1.0399254E+002,-2.3666861E+001, 2.6699643E+001
 4.0489471E-001, 1.2551228E+002, 5.0819252E+001,-1.0406391E+002,-2.3918208E+001, 2.6751531E+001
 4.0731003E-001, 1.2551228E+002, 5.1122404E+001,-1.0413368E+002,-2.4169724E+001, 2.6803251E+001
 4.0972534E-001, 1.2551228E+002, 5.1425555E+001,-1.0420370E+002,-2.4421409E+001, 2.6854802E+001
 4.1214066E-001, 1.2551228E+002, 5.1728707E+001,-1.0427547E+002,-2.4673267E+001, 2.6906184E+001
 4.1455597E-001, 1.2551228E+002, 5.2031859E+001,-1.0434947E+002,-2.4925304E+001, 2.6957389E+001
 4.1697129E-001, 1.2551228E+002, 5.2335011E+001,-1.0442562E+002,-2.5177525E+001, 2.7008414E+001
 4.1938660E-001, 1.2551228E+002, 5.2638163E+001,-1.0450342E+002,-2.5429933E+001, 2.7059251E+001
 4.2180192E-001, 1.2551228E+002, 5.2941314E+001,-1.0458237E+002,-2.5682533E+001, 2.7109900E+001
 4.2421723E-001, 1.2551228E+002, 5.3244466E+001,-1.0466137E+002,-2.5935323E+001, 2.7160357E+001
 4.2663255E-001, 1.2551228E+002, 5.3547618E+001,-1.0473911E+002,-2.6188301E+001, 2.7210623E+001
 4.2904787E-001, 1.2551228E+002, 5.3850770E+001,-1.0481441E+002,-2.6441461E+001, 2.7260705E+001
 4.3146318E-001, 1.2551228E+002, 5.4153921E+001,-1.0488692E+002,-2.6694796E+001, 2.7310607E+001
 4.3387850E-001, 1.2551228E+002, 5.4457073E+001,-1.0495755E+002,-2.6948302E+001, 2.7360338E+001
 4.3629381E-001, 1.2551228E+002, 5.4760225E+001,-1.0502736E+002,-2.7201976E+001, 2.7409899E+001
 4.3870913E-001, 1.2551228E+002, 5.5063377E+001,-1.0509746E+002,-2.7455819E+001, 2.7459292E+001
 4.4112444E-001, 1.2551228E+002, 5.5366528E+001,-1.0516843E+002,-2.7709834E+001, 2.7508515E+001
 4.4353976E-001, 1.2551228E+002, 5.5669680E+001,-1.0524054E+002,-2.7964023E+001, 2.7557565E+001
 4.4595507E-001, 1.2551228E+002, 5.5972832E+001,-1.0531366E+002,-2.8218389E+001, 2.7606440E+001
 4.4837039E-001, 1.2551228E+002, 5.6275984E+001,-1.0538717E+002,-2.8472932E+001, 2.7655138E+001
 4.5078570E-001, 1.2551228E+002, 5.6579135E+001,-1.0546015E+002,-2.8727652E+001, 2.7703658E+001
 4.5320102E-001, 1.2551228E+002, 5.6882287E+001,-1.0553158E+002,-2.8982544E+001, 2.7752003E+001
 4.5561634E-001, 1.2551228E+002, 5.7185439E+001,-1.0560025E+002,-2.9237602E+001, 2.7800178E+001
 4.5803165E-001, 1.2551228E+002, 5.7488591E+001,-1.0566502E+002,-2.9492816E+001, 2.7848191E+001
 4.6044697E-001, 1.2551228E+002, 5.7791742E+001,-1.0572525E+002,-2.9748176E+001, 2.7896054E+001
 4.6286228E-001, 1.2551228E+002, 5.8094894E+001,-1.0578059E+002,-3.0003670E+001, 2.7943776E+001
 4.6527760E-001, 1.2551228E+002, 5.8398046E+001,-1.0583122E+002,-3.0259285E+001, 2.7991370E+001
 4.6769291E-001, 1.2551228E+002, 5.8701198E+001,-1.0587738E+002,-3.0515013E+001, 2.8038848E+001
 4.7010823E-001, 1.2551228E+002, 5.9004349E+001,-1.0591964E+002,-3.0770842E+001, 2.8086219E+001
 4.7252354E-001, 1.2551228E+002, 5.9307501E+001,-1.0595853E+002,-3.1026765E+001, 2.8133492E+001
 4.7493886E-001, 1.2551228E+002, 5.9610653E+001,-1.0599463E+002,-3.1282776E+001, 2.8180675E+001
 4.7735418E-001, 1.2551228E+002, 5.9913805E+001,-1.0602841E+002,-3.1538868E+001, 2.8227775E+001
 4.7976949E-001, 1.2551228E+002, 6.0216956E+001,-1.0606048E+002,-3.1795037E+001, 2.8274794E+001
 4.8218481E-001, 1.2551228E+002, 6.0520108E+001,-1.0609095E+002,-3.2051280E+001, 2.8321739E+001
 4.8460012E-001, 1.2551228E+002, 6.0823260E+001,-1.0611966E+002,-3.2307593E+001, 2.8368612E+001
 4.8701544E-001, 1.2551228E+002, 6.1126412E+001,-1.0614626E+002,-3.2563970E+001, 2.8415418E+001
 4.8943075E-001, 1.2551228E+002, 6.1429563E+001,-1.0617055E+002,-3.2820405E+001, 2.8462162E+001
 4.9184607E-001, 1.2551228E+002, 6.1732715E+001,-1.0619231E+002,-3.3076893E+001, 2.8508851E+001
 4.9426138E-001, 1.2551228E+002, 6.2035867E+001,-1.0621174E+002,-3.3333428E+001, 2.8555490E+001
 4.9667670E-001, 1.2551228E+002, 6.2339019E+001,-1.0622923E+002,-3.3590005E+001, 2.8602084E+001
 4.9909202E-001, 1.2551228E+002, 6.2642170E+001,-1.0624545E+002,-3.3846621E+001, 2.8648639E+001
 5.0150733E-001, 1.2551228E+002, 6.2945322E+001,-1.0626123E+002,-3.4103276E+001, 2.8695155E+001
 5.0392265E-001, 1.2551228E+002, 6.3248474E+001,-1.0627761E+002,-3.4359970E+001, 2.8741633E+001
 5.0633796E-001, 1.2551228E+002, 6.3551626E+001,-1.0629568E+002,-3.4616707E+001, 2.8788070E+001
 5.0875328E-001, 1.2551228E+002, 6.3854777E+001,-1.0631675E+002,-3.4873496E+001, 2.8834461E+001
 5.1116859E-001, 1.2551228E+002, 6.4157929E+001,-1.0634182E+002,-3.5130345E+001, 2.8880796E+001
 5.1358391E-001, 1.2551228E+002, 6.4461081E+001,-1.0637145E+002,-3.5387265E+001, 2.8927066E+001
 5.1599922E-001, 1.2551228E+002, 6.4764233E+001,-1.0640582E+002,-3.5644269E+001, 2.8973258E+001
 5.1841454E-001, 1.2551228E+002, 6.5067384E+001,-1.0644477E+002,-3.5901367E+001, 2.9019362E+001
 5.2082985E-001, 1.2551228E+002, 6.5370536E+001,-1.0648787E+002,-3.6158568E+001, 2.9065367E+001
 5.2324517E-001, 1.2551228E+002, 6.5673688E+001,-1.0653427E+002,-3.6415882E+001, 2.9111263E+001
 5.2566049E-001, 1.2551228E+002, 6.5976840E+001,-1.0658297E+002,-3.6673314E+001, 2.9157044E+001
 5.2807580E-001, 1.2551228E+002, 6.6279991E+001,-1.0663337E+002,-3.6930867E+001, 2.9202704E+001
 5.3049112E-001, 1.2551228E+002, 6.6583143E+001,-1.0668503E+002,-3.7188545E+001, 2.9248241E+001
 5.3290643E-001, 1.2551228E+002, 6.6886295E+001,-1.0673749E+002,-3.7446350E+001, 2.9293652E+001
 5.3532175E-001, 1.2551228E+002, 6.7189447E+001,-1.0679033E+002,-3.7704282E+001, 2.9338936E+001
 5.3773706E-001, 1.2551228E+002, 6.7492599E+001,-1.0684343E+002,-3.7962343E+001, 2.9384091E+001
 5.4015238E-001, 1.2551228E+002, 6.7795750E+001,-1.0689665E+002,-3.8220532E+001, 2.9429119E+001
