s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 1.95350735865362E+000,-6.14778430294445E+000, 6.14787065746095E+000
 1.96085804435584E+000,-6.15139360716817E+000, 6.15214434078577E+000
 1.96820873005806E+000,-6.15495226954363E+000, 6.15567323331837E+000
 1.97923475861139E+000,-6.16019679893913E+000, 6.16101224765247E+000
 1.98658544431361E+000,-6.16363182159225E+000, 6.16449575721279E+000
 1.99393613001582E+000,-6.16701855251428E+000, 6.16803081083280E+000
 2.00128681571804E+000,-6.17035764464323E+000, 6.17106452545445E+000
 2.00863750142026E+000,-6.17364974282903E+000, 6.17320628879045E+000
 2.01966352997359E+000,-6.17850116738242E+000, 6.17751537846792E+000
 2.02701421567581E+000,-6.18167854956124E+000, 6.18100255138451E+000
 2.03436490137803E+000,-6.18481113221456E+000, 6.18388051211870E+000
 2.04171558708025E+000,-6.18789952476931E+000, 6.18864455722498E+000
 2.04906627278247E+000,-6.19094432899601E+000, 6.19007823495130E+000
 2.05641695848469E+000,-6.19394613908686E+000, 6.19473517530292E+000
 2.06744298703802E+000,-6.19836952157369E+000, 6.19763272211063E+000
 2.07479367274024E+000,-6.20126639688169E+000, 6.20136744217287E+000
 2.08214435844246E+000,-6.20412229916452E+000, 6.20491944653207E+000
 2.08949504414467E+000,-6.20693778946833E+000, 6.20580157365735E+000
 2.09684572984689E+000,-6.20971342168429E+000, 6.20964725499386E+000
 2.10419641554911E+000,-6.21244974262488E+000, 6.21178927216817E+000
 2.11522244410244E+000,-6.21648169433092E+000, 6.21657421509772E+000
 2.12257312980466E+000,-6.21912208361453E+000, 6.21861416245906E+000
 2.12992381550688E+000,-6.22172502080969E+000, 6.22269994568887E+000
 2.13727450120910E+000,-6.22429102180514E+000, 6.22357451723796E+000
 2.14462518691132E+000,-6.22682059582232E+000, 6.22762108705360E+000
 2.15565121546465E+000,-6.23054775397629E+000, 6.23042784056830E+000
 2.16300190116687E+000,-6.23298844529865E+000, 6.23215096681337E+000
 2.17035258686909E+000,-6.23539444046931E+000, 6.23419294320939E+000
 2.17770327257130E+000,-6.23776621960980E+000, 6.23871517667531E+000
 2.18412593734860E+000,-6.23981092529697E+000, 6.23876651844865E+000
 2.19375993451453E+000,-6.24283036575640E+000, 6.24182585839690E+000
 2.20018259929182E+000,-6.24481202948067E+000, 6.24528751036082E+000
 2.20981659645776E+000,-6.24773833854340E+000, 6.24714869989301E+000
 2.21623926123505E+000,-6.24965885625586E+000, 6.24933729843908E+000
 2.22587325840099E+000,-6.25249483704851E+000, 6.25166018803074E+000
 2.23293818965600E+000,-6.25454089030473E+000, 6.25517508493325E+000
 2.24000312091102E+000,-6.25655888438360E+000, 6.25739605070405E+000
 2.25130701091905E+000,-6.25973024834728E+000, 6.25896136162628E+000
 2.25907843529958E+000,-6.26187023873613E+000, 6.26232657713290E+000
 2.26684985968010E+000,-6.26397793168463E+000, 6.26396117339996E+000
 2.27462128406062E+000,-6.26605380401021E+000, 6.26519382469806E+000
