s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 1.83400315876919E+000,-6.08138381366780E+000, 6.08138381366781E+000
 1.84222375280938E+000,-6.08645214330136E+000, 6.08645214330138E+000
 1.85044434684958E+000,-6.09144184252608E+000, 6.09144184252606E+000
 1.85866494088977E+000,-6.09635406825055E+000, 6.09635406825054E+000
 1.86688553492997E+000,-6.10118996235383E+000, 6.10118996235382E+000
 1.87510612897016E+000,-6.10595065181625E+000, 6.10595065181623E+000
 1.88290539142587E+000,-6.11039882987614E+000, 6.11039882987612E+000
 1.89028332229707E+000,-6.11454617111684E+000, 6.11454617111682E+000
 1.89766125316828E+000,-6.11863545460285E+000, 6.11863545460287E+000
 1.90503918403948E+000,-6.12266745505639E+000, 6.12266745505638E+000
 1.91241711491069E+000,-6.12664293794476E+000, 6.12664293794474E+000
 1.92348401121750E+000,-6.13250184374185E+000, 6.13250184374183E+000
 1.93086194208870E+000,-6.13633932161864E+000, 6.13633932161867E+000
 1.93823987295991E+000,-6.14012288933138E+000, 6.14012288933136E+000
 1.94561780383111E+000,-6.14385327168498E+000, 6.14385327168498E+000
 1.95299573470232E+000,-6.14753118466848E+000, 6.14753118466850E+000
 1.96037366557353E+000,-6.15115733553512E+000, 6.15115733553512E+000
 1.97144056188034E+000,-6.15650103370183E+000, 6.15650103370183E+000
 1.97881849275154E+000,-6.16000081690641E+000, 6.16000081690642E+000
 1.98619642362275E+000,-6.16345124574787E+000, 6.16345124574787E+000
 1.99357435449395E+000,-6.16685298916442E+000, 6.16685298916439E+000
 2.00095228536516E+000,-6.17020670780113E+000, 6.17020670780114E+000
 2.00833021623636E+000,-6.17351305409060E+000, 6.17351305409062E+000
 2.01939711254317E+000,-6.17838515757642E+000, 6.17838515757639E+000
 2.02677504341438E+000,-6.18157587421874E+000, 6.18157587421876E+000
 2.03415297428559E+000,-6.18472143851135E+000, 6.18472143851134E+000
 2.04153090515679E+000,-6.18782246692155E+000, 6.18782246692157E+000
 2.04890883602800E+000,-6.19087956814411E+000, 6.19087956814413E+000
 2.05628676689920E+000,-6.19389334318022E+000, 6.19389334318025E+000
 2.06735366320601E+000,-6.19833406510609E+000, 6.19833406510607E+000
 2.07473159407722E+000,-6.20124210428139E+000, 6.20124210428141E+000
