s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 2.23338056809204E+000,-6.25466806876124E+000, 6.25466806876123E+000
 2.24050264247801E+000,-6.25670051316114E+000, 6.25670051316106E+000
 2.25118575405698E+000,-6.25969659979842E+000, 6.25969659979837E+000
 2.25830782844295E+000,-6.26165948974745E+000, 6.26165948974740E+000
 2.26614211026752E+000,-6.26378730665085E+000, 6.26378730665084E+000
 2.27397639209209E+000,-6.26588274224674E+000, 6.26588274224671E+000
 2.28181067391666E+000,-6.26794627873015E+000, 6.26794627873023E+000
 2.28964495574123E+000,-6.26997839143922E+000, 6.26997839143919E+000
 2.29747923756580E+000,-6.27197954894251E+000, 6.27197954894245E+000
 2.30531351939037E+000,-6.27395021312606E+000, 6.27395021312601E+000
 2.31314780121494E+000,-6.27589083927910E+000, 6.27589083927913E+000
 2.32098208303951E+000,-6.27780187617918E+000, 6.27780187617922E+000
 2.32881636486408E+000,-6.27968376617672E+000, 6.27968376617668E+000
 2.33665064668866E+000,-6.28153694527821E+000, 6.28153694527815E+000
 2.34448492851323E+000,-6.28336184322916E+000, 6.28336184322917E+000
 2.35231921033780E+000,-6.28515888359591E+000, 6.28515888359594E+000
 2.36015349216237E+000,-6.28692848384668E+000, 6.28692848384667E+000
 2.37190491489922E+000,-6.28953233242681E+000, 6.28953233242678E+000
 2.37973919672379E+000,-6.29123511951355E+000, 6.29123511951350E+000
 2.38757347854837E+000,-6.29291188075110E+000, 6.29291188075112E+000
 2.39540776037294E+000,-6.29456300714723E+000, 6.29456300714728E+000
 2.40324204219751E+000,-6.29618888404269E+000, 6.29618888404269E+000
 2.41107632402208E+000,-6.29778989118700E+000, 6.29778989118699E+000
 2.41891060584665E+000,-6.29936640281358E+000, 6.29936640281362E+000
 2.42674488767122E+000,-6.30091878771353E+000, 6.30091878771350E+000
 2.43457916949579E+000,-6.30244740930931E+000, 6.30244740930939E+000
 2.44241345132036E+000,-6.30395262572702E+000, 6.30395262572697E+000
 2.45024773314493E+000,-6.30543478986804E+000, 6.30543478986807E+000
 2.45759518246073E+000,-6.30680421188510E+000, 6.30680421188515E+000
 2.46445579926777E+000,-6.30806511809809E+000, 6.30806511809813E+000
 2.47474672447832E+000,-6.30992478912350E+000, 6.30992478912346E+000
 2.48160734128535E+000,-6.31114377026325E+000, 6.31114377026320E+000
 2.48846795809239E+000,-6.31234636878860E+000, 6.31234636878851E+000
