s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.9400000E-001, 2.8301507E-001, 3.2708939E-001, 1.0629859E+000, 9.9469155E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9600000E-001, 2.8475567E-001, 3.2912814E-001, 1.0633597E+000, 9.9132818E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9800000E-001, 2.8649715E-001, 3.3116864E-001, 1.0638809E+000, 9.9735757E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 2.8823947E-001, 3.3321088E-001, 1.0643166E+000, 9.9308238E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0200000E-001, 2.8891344E-001, 3.3402861E-001, 4.2187818E-001, 9.9795279E-006, 5.0700000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0400000E-001, 2.8956891E-001, 3.3481928E-001, 4.0537982E-001, 9.9699924E-006, 9.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0600000E-001, 2.9022363E-001, 3.3560885E-001, 4.0399036E-001, 9.8052961E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0800000E-001, 2.9087788E-001, 3.3639796E-001, 4.0303503E-001, 8.6182344E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1000000E-001, 2.9153157E-001, 3.3718660E-001, 4.0229632E-001, 5.8029050E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1200000E-001, 2.9218494E-001, 3.3797540E-001, 4.0180732E-001, 8.0669259E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1400000E-001, 2.9283842E-001, 3.3876528E-001, 4.0217515E-001, 9.8048815E-006, 1.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1600000E-001, 2.9349748E-001, 3.3956382E-001, 4.0680089E-001, 9.9866807E-006, 3.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1800000E-001, 2.9415775E-001, 3.4036383E-001, 4.0674649E-001, 9.8363680E-006, 9.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2000000E-001, 2.9481870E-001, 3.4116490E-001, 4.0662740E-001, 9.8073937E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2200000E-001, 2.9547989E-001, 3.4196682E-001, 4.0656048E-001, 9.9852990E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2400000E-001, 2.9614103E-001, 3.4276929E-001, 4.0645328E-001, 9.9724438E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2600000E-001, 2.9680210E-001, 3.4357244E-001, 4.0644858E-001, 9.5596576E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2800000E-001, 2.9746330E-001, 3.4437651E-001, 4.0652150E-001, 9.6027119E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3000000E-001, 2.9812477E-001, 3.4518159E-001, 4.0665828E-001, 9.6631696E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3200000E-001, 2.9878653E-001, 3.4598770E-001, 4.0679097E-001, 9.6032438E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3400000E-001, 2.9944842E-001, 3.4679472E-001, 4.0685470E-001, 9.8362270E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3600000E-001, 3.0011028E-001, 3.4760251E-001, 4.0692974E-001, 9.7566100E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3800000E-001, 3.0077198E-001, 3.4841102E-001, 4.0694545E-001, 9.6927863E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000000E-001, 3.0143344E-001, 3.4922027E-001, 4.0697360E-001, 9.6617474E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4200000E-001, 3.0209467E-001, 3.5003031E-001, 4.0707943E-001, 9.6331695E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4400000E-001, 3.0275561E-001, 3.5084111E-001, 4.0711317E-001, 9.6493690E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4600000E-001, 3.0341627E-001, 3.5165274E-001, 4.0722454E-001, 9.6235968E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4800000E-001, 3.0407658E-001, 3.5246520E-001, 4.0733318E-001, 9.5777950E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 3.0473646E-001, 3.5327844E-001, 4.0737207E-001, 9.5465193E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5200000E-001, 3.0420469E-001, 3.5272506E-001,-3.0886135E-001, 9.9534791E-006, 5.2200000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5400000E-001, 3.0365413E-001, 3.5214563E-001,-3.2468695E-001, 9.9341625E-006, 9.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5600000E-001, 3.0310228E-001, 3.5156640E-001,-3.2462781E-001, 9.5292916E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5800000E-001, 3.0254986E-001, 3.5098808E-001,-3.2472556E-001, 9.8246534E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
