s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.4800000E-001, 3.0408555E-001, 3.5247834E-001, 4.0810603E-001, 8.5535879E-006, 6.0000000E+000, 3.5000000E+001, 5.6495067E-001, 3.4853909E-009
 2.5000000E-001, 3.0474538E-001, 3.5329149E-001, 4.0818706E-001, 8.7520735E-006, 6.0000000E+000, 3.5000000E+001, 5.6364778E-001, 3.2924670E-009
 2.5200000E-001, 3.0419527E-001, 3.5271132E-001,-3.2453129E-001, 8.5101245E-006, 9.0000000E+000, 3.6000000E+001, 5.8646239E-001, 8.1077736E-009
 2.5400000E-001, 3.0364472E-001, 3.5213193E-001,-3.2469768E-001, 6.9020051E-006, 6.0000000E+000, 3.5000000E+001, 5.6879495E-001, 3.7566703E-009
 2.5600000E-001, 3.0309365E-001, 3.5155329E-001,-3.2487813E-001, 7.2914384E-006, 6.0000000E+000, 3.4000000E+001, 5.7267254E-001, 8.6577010E-009
 2.5800000E-001, 3.0254199E-001, 3.5097540E-001,-3.2505776E-001, 6.9646875E-006, 6.0000000E+000, 3.4000000E+001, 5.7290390E-001, 8.5137377E-009
 2.6000000E-001, 3.0198967E-001, 3.5039824E-001,-3.2523640E-001, 6.7183048E-006, 6.0000000E+000, 3.4000000E+001, 5.7277476E-001, 8.2504887E-009
 2.6200000E-001, 3.0143662E-001, 3.4982177E-001,-3.2541372E-001, 6.5636846E-006, 6.0000000E+000, 3.4000000E+001, 5.7015054E-001, 6.8453425E-009
 2.6400000E-001, 3.0088278E-001, 3.4924597E-001,-3.2558945E-001, 6.3777053E-006, 6.0000000E+000, 3.4000000E+001, 5.6873252E-001, 6.0466201E-009
 2.6600000E-001, 3.0032810E-001, 3.4867081E-001,-3.2576331E-001, 6.1380170E-006, 6.0000000E+000, 3.3000000E+001, 5.6624795E-001, 8.7610384E-009
 2.6800000E-001, 2.9977252E-001, 3.4809626E-001,-3.2593507E-001, 5.8434963E-006, 6.0000000E+000, 3.3000000E+001, 5.6522976E-001, 7.7772251E-009
 2.7000000E-001, 2.9921599E-001, 3.4752226E-001,-3.2610451E-001, 5.4938709E-006, 6.0000000E+000, 3.3000000E+001, 5.6426943E-001, 6.8451589E-009
 2.7200000E-001, 2.9865847E-001, 3.4694878E-001,-3.2627145E-001, 5.0899791E-006, 6.0000000E+000, 3.4000000E+001, 5.6843288E-001, 4.5571747E-009
 2.7400000E-001, 2.9809991E-001, 3.4637576E-001,-3.2643574E-001, 9.2990035E-006, 5.0000000E+000, 3.4000000E+001, 5.7030605E-001, 9.0871680E-009
 2.7600000E-001, 2.9754029E-001, 3.4580315E-001,-3.2659721E-001, 8.6428953E-006, 5.0000000E+000, 3.4000000E+001, 5.6600454E-001, 6.5185200E-009
