s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.9600000E-001, 2.8341853E-001, 3.2814975E-001, 1.6819529E+000, 2.7899235E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9800000E-001, 2.8550070E-001, 3.3064125E-001, 1.6754696E+000, 2.8308805E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 2.8762935E-001, 3.3316106E-001, 1.6682854E+000, 2.7109161E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0200000E-001, 2.8979608E-001, 3.3570193E-001, 1.6605538E+000, 2.4532842E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0400000E-001, 2.9198889E-001, 3.3825684E-001, 1.6523535E+000, 3.4833745E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0600000E-001, 2.9418849E-001, 3.4081954E-001, 1.6431895E+000, 5.7697542E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0800000E-001, 2.9636830E-001, 3.4337950E-001, 1.6325435E+000, 7.7906740E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1000000E-001, 2.9849478E-001, 3.4591939E-001, 1.6198013E+000, 9.5071890E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1200000E-001, 3.0052969E-001, 3.4841382E-001, 1.6043363E+000, 1.0941939E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1400000E-001, 3.0226767E-001, 3.5070995E-001, 1.5151351E+000, 1.1790682E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1600000E-001, 3.0366076E-001, 3.5272549E-001, 1.4023346E+000, 1.2119081E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1800000E-001, 3.0481039E-001, 3.5450890E-001, 1.3218212E+000, 1.2133493E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2000000E-001, 3.0582081E-001, 3.5614146E-001, 1.2906770E+000, 1.1996890E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2200000E-001, 3.0670696E-001, 3.5761583E-001, 1.2562405E+000, 1.1750449E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2400000E-001, 3.0748910E-001, 3.5893376E-001, 1.2190113E+000, 1.1494638E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2600000E-001, 3.0818948E-001, 3.6010556E-001, 1.1795371E+000, 1.1580740E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2800000E-001, 3.0882964E-001, 3.6114828E-001, 1.1383571E+000, 1.1569024E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3000000E-001, 3.0942865E-001, 3.6208294E-001, 1.0959581E+000, 1.1481206E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3200000E-001, 3.1000227E-001, 3.6293128E-001, 1.0527504E+000, 1.1339717E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3400000E-001, 3.1056269E-001, 3.6371275E-001, 1.0090675E+000, 1.1165574E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3600000E-001, 3.1111846E-001, 3.6444238E-001, 9.6518345E-001, 1.1031782E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3800000E-001, 3.1167460E-001, 3.6512977E-001, 9.2134067E-001, 1.0971693E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000000E-001, 3.1223266E-001, 3.6577922E-001, 8.7777555E-001, 1.0879151E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4200000E-001, 3.1279103E-001, 3.6639054E-001, 8.3473545E-001, 1.0720973E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4400000E-001, 3.1334525E-001, 3.6696020E-001, 7.9248413E-001, 1.0558406E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4600000E-001, 3.1388850E-001, 3.6748243E-001, 7.5129789E-001, 1.0527985E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
