s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.6800000E-001, 2.9977259E-001, 3.4809621E-001,-3.2593727E-001, 5.9424083E-004, 1.0000000E+000, 4.1000000E+001, 5.3985673E-001, 3.5627203E-009
 2.7000000E-001, 2.9921602E-001, 3.4752231E-001,-3.2610465E-001, 6.1740896E-004, 1.0000000E+000, 4.1000000E+001, 5.3938520E-001, 3.4127565E-009
 2.7200000E-001, 2.9865847E-001, 3.4694890E-001,-3.2627111E-001, 6.2136377E-004, 1.0000000E+000, 4.1000000E+001, 5.4135291E-001, 3.9410691E-009
 2.7400000E-001, 2.9809989E-001, 3.4637592E-001,-3.2643552E-001, 5.8869381E-004, 1.0000000E+000, 4.1000000E+001, 5.4037774E-001, 3.6454634E-009
 2.7600000E-001, 2.9754024E-001, 3.4580333E-001,-3.2659697E-001, 5.3008955E-004, 1.0000000E+000, 4.1000000E+001, 5.3943100E-001, 3.3857234E-009
 2.7800000E-001, 2.9697950E-001, 3.4523107E-001,-3.2675510E-001, 4.6233438E-004, 1.0000000E+000, 4.1000000E+001, 5.4182738E-001, 4.0635336E-009
 2.8000000E-001, 2.9641764E-001, 3.4465908E-001,-3.2690997E-001, 3.9511458E-004, 1.0000000E+000, 4.1000000E+001, 5.4400248E-001, 4.8055864E-009
 2.8200000E-001, 2.9585463E-001, 3.4408730E-001,-3.2706175E-001, 3.3792647E-004, 1.0000000E+000, 4.1000000E+001, 5.4517622E-001, 5.2812849E-009
 2.8400000E-001, 2.9529046E-001, 3.4351563E-001,-3.2721051E-001, 4.1477015E-004, 1.0000000E+000, 4.1000000E+001, 5.4586394E-001, 5.6098593E-009
 2.8600000E-001, 2.9472512E-001, 3.4294399E-001,-3.2735623E-001, 4.9048103E-004, 1.0000000E+000, 4.1000000E+001, 5.4635302E-001, 5.8863649E-009
 2.8800000E-001, 2.9415860E-001, 3.4237227E-001,-3.2749884E-001, 5.6468228E-004, 1.0000000E+000, 4.1000000E+001, 5.4669404E-001, 6.1237140E-009
 2.9000000E-001, 2.9359090E-001, 3.4180039E-001,-3.2763832E-001, 6.3583607E-004, 1.0000000E+000, 4.1000000E+001, 5.4685939E-001, 6.3004378E-009
 2.9200000E-001, 2.9302203E-001, 3.4122823E-001,-3.2777465E-001, 7.0208976E-004, 1.0000000E+000, 4.1000000E+001, 5.4684014E-001, 6.4028693E-009
 2.9400000E-001, 2.9245199E-001, 3.4065568E-001,-3.2790791E-001, 7.6186727E-004, 1.0000000E+000, 4.1000000E+001, 5.4665396E-001, 6.4321537E-009
 2.9600000E-001, 2.9188081E-001, 3.4008263E-001,-3.2803815E-001, 8.1400974E-004, 1.0000000E+000, 4.1000000E+001, 5.4632222E-001, 6.3944347E-009
 2.9800000E-001, 2.9130850E-001, 3.3950896E-001,-3.2816546E-001, 8.5764679E-004, 1.0000000E+000, 4.1000000E+001, 5.4587371E-001, 6.3020261E-009
