s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 1.4152572E+001, 9.9982379E-001, 9.7187190E-001, 9.3908637E-004, 1.1000000E+001
 1.4241231E+001, 9.9983347E-001, 9.7276024E-001, 9.7064939E-004, 1.0000000E+001
 1.4329890E+001, 9.9984382E-001, 9.7419072E-001, 9.7846826E-004, 1.0000000E+001
 1.4418549E+001, 9.9985477E-001, 9.7588806E-001, 9.9756795E-004, 1.9000000E+001
 1.4507207E+001, 9.9986807E-001, 9.7728073E-001, 9.8778735E-004, 1.8000000E+001
 1.4595866E+001, 9.9987956E-001, 9.7809870E-001, 9.8810920E-004, 1.8000000E+001
 1.4684525E+001, 9.9988504E-001, 9.7829830E-001, 9.9849161E-004, 1.9000000E+001
 1.4773183E+001, 9.9988233E-001, 9.7802617E-001, 9.9155283E-004, 2.0000000E+001
 1.4861842E+001, 9.9987370E-001, 9.7747581E-001, 9.8958362E-004, 2.0000000E+001
 1.4950501E+001, 9.9986380E-001, 9.7677304E-001, 9.9678888E-004, 1.9000000E+001
 1.5039159E+001, 9.9985726E-001, 9.7597868E-001, 9.7525653E-004, 1.8000000E+001
 1.5127818E+001, 9.9985679E-001, 9.7515654E-001, 9.7520452E-004, 1.6000000E+001
 1.5216477E+001, 9.9986318E-001, 9.7439162E-001, 9.8772415E-004, 1.4000000E+001
 1.5305135E+001, 9.9987564E-001, 9.7382519E-001, 9.6380172E-004, 1.3000000E+001
 1.5393794E+001, 9.9989289E-001, 9.7361975E-001, 9.5208913E-004, 1.2000000E+001
 1.5482453E+001, 9.9991556E-001, 9.7412243E-001, 9.9378067E-004, 2.0000000E+001
 1.5571111E+001, 9.9994580E-001, 9.7594514E-001, 9.9524946E-004, 3.4000000E+001
 1.5659770E+001, 9.9997918E-001, 9.7868227E-001, 9.9421127E-004, 2.6000000E+001
 1.5748429E+001, 1.0000109E+000, 9.8207673E-001, 9.9987709E-004, 2.1000000E+001
 1.5837088E+001, 1.0000374E+000, 9.8595614E-001, 9.7875012E-004, 1.8000000E+001
 1.5925746E+001, 1.0000568E+000, 9.9013901E-001, 9.5843431E-004, 1.5000000E+001
