s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 2.2934338E+001, 9.9981681E-001, 1.0207846E+000, 9.8932709E-004, 1.0000000E+001
 2.3023877E+001, 9.9984991E-001, 1.0214262E+000, 9.9727555E-004, 9.0000000E+000
 2.3113416E+001, 9.9989365E-001, 1.0216125E+000, 9.6437585E-004, 9.0000000E+000
 2.3202954E+001, 9.9994443E-001, 1.0212725E+000, 9.3878337E-004, 9.0000000E+000
 2.3292493E+001, 9.9999863E-001, 1.0202937E+000, 9.6079940E-004, 9.0000000E+000
 2.3382032E+001, 1.0000518E+000, 1.0186165E+000, 9.1822284E-004, 9.0000000E+000
 2.3471570E+001, 1.0001004E+000, 1.0162810E+000, 9.6197901E-004, 8.0000000E+000
 2.3561109E+001, 1.0001417E+000, 1.0136136E+000, 8.6735436E-004, 8.0000000E+000
 2.3650647E+001, 1.0001748E+000, 1.0108783E+000, 9.1697169E-004, 7.0000000E+000
 2.3740186E+001, 1.0001989E+000, 1.0084643E+000, 8.1388706E-004, 7.0000000E+000
 2.3829725E+001, 1.0002145E+000, 1.0064088E+000, 9.9328414E-004, 6.0000000E+000
 2.3919263E+001, 1.0002222E+000, 1.0047240E+000, 9.8031412E-004, 7.0000000E+000
 2.4008802E+001, 1.0002209E+000, 1.0033944E+000, 9.7780127E-004, 8.0000000E+000
 2.4098340E+001, 1.0002117E+000, 1.0024354E+000, 9.9455091E-004, 9.0000000E+000
 2.4187879E+001, 1.0001958E+000, 1.0018729E+000, 9.3360938E-004, 1.1000000E+001
 2.4277418E+001, 1.0001768E+000, 1.0016639E+000, 9.9393799E-004, 1.1000000E+001
 2.4366956E+001, 1.0001590E+000, 1.0017344E+000, 9.4654068E-004, 1.2000000E+001
 2.4456495E+001, 1.0001455E+000, 1.0019452E+000, 9.4226794E-004, 1.1000000E+001
 2.4546033E+001, 1.0001375E+000, 1.0021923E+000, 9.2783135E-004, 1.0000000E+001
 2.4635572E+001, 1.0001337E+000, 1.0023979E+000, 8.9042106E-004, 9.0000000E+000
 2.4725111E+001, 1.0001322E+000, 1.0025357E+000, 8.7534588E-004, 8.0000000E+000
 2.4814649E+001, 1.0001301E+000, 1.0026325E+000, 9.3425615E-004, 7.0000000E+000
 2.4904188E+001, 1.0001252E+000, 1.0027171E+000, 8.7543849E-004, 7.0000000E+000
 2.4993727E+001, 1.0001147E+000, 1.0027542E+000, 8.2600246E-004, 7.0000000E+000
