s,kW/m2,(kg/m2/s)
Time,HRRPUA,MLRPUA
879,130.884582,0.009227451
880,130.4059776,0.011578152
881,128.2843802,0.011735681
882,127.1209016,0.011966066
883,131.0492813,0.01221134
884,132.3996878,0.01024759
885,129.4900517,0.009326339
886,131.5074395,0.009609615
887,133.5229874,0.01164122
888,131.6687211,0.014666142
889,135.6144705,0.014825383
890,133.1007013,0.01070844
891,135.6987995,0.006145283
892,138.0893413,0.005981998
893,140.334411,0.009768354
894,140.9588328,0.012746107
895,141.7247342,0.013402366
896,142.3928822,0.01218849
897,140.1948731,0.010369014
898,140.006128,0.010067707
899,143.6615374,0.010061278
900,143.3316143,0.012151244
901,146.4495848,0.013084474
902,145.8024958,0.010831963
903,143.2838122,0.008609285
904,148.5222361,0.009162352
905,145.9662925,0.01327314
906,148.0689647,0.014315447
907,147.8867623,0.012705923
908,142.195211,0.011976917
909,145.0218953,0.013441431
910,143.5892933,0.014545459
911,145.950049,0.013018433
912,149.7674232,0.011348797
913,149.2103492,0.011267578
914,148.8873323,0.011029286
915,153.6505174,0.009515303
916,154.8576314,0.00757878
917,156.0322356,0.00897187
918,154.4152073,0.012876021
919,158.359042,0.014944174
920,157.8618979,0.014908384
921,156.2208623,0.011513059
922,160.3310992,0.009753394
923,160.593125,0.011339407
924,156.3164676,0.014161369
925,155.7641412,0.015054192
926,154.5890003,0.011639624
927,157.9555957,0.009833035
928,163.5017369,0.012998972
929,162.4746847,0.015407793
930,162.2314754,0.012841817
931,162.5377746,0.01027742
932,165.2171006,0.013428582
933,167.2662,0.01743191
934,165.6834726,0.015988854
935,165.5551523,0.013845453
936,164.2249181,0.013718791
937,166.1207843,0.014690162
938,165.5557934,0.014309842
939,169.6341859,0.0133324
940,168.4346709,0.012953598
941,165.4642516,0.012979792
942,171.8708461,0.013425924
943,173.6091097,0.012131237
944,176.005358,0.010670019
945,176.2019253,0.010850628
946,173.4844636,0.012782655
947,179.3586967,0.013588471
948,180.2393975,0.014312406
949,181.1835293,0.015601672
950,176.1446444,0.015063835
951,172.8437827,0.013510489
952,175.7091066,0.014164008
953,178.9986113,0.016510866
954,181.8464951,0.016654028
955,180.5068864,0.014806281
956,179.3369924,0.013452476
957,182.0664258,0.014495227
958,184.9411086,0.014681099
959,190.0368248,0.015187912
960,185.8907711,0.015245843
961,183.2938664,0.014121424
962,188.0104376,0.014590045
963,189.0451326,0.016297301
964,189.4542021,0.018135772
965,194.1935177,0.015966931
966,195.1555198,0.014372844
967,194.3157827,0.013745956
968,189.3387183,0.014161887
969,189.1657696,0.015246232
970,195.3853335,0.015314439
971,197.8849455,0.016839753
972,196.8803492,0.017658924
973,197.4216266,0.016456231
974,201.8951993,0.015524186
975,203.1492892,0.014966484
976,199.5369599,0.016079176
977,203.7200621,0.015711127
978,207.3538333,0.013986815
979,206.9927448,0.012008274
980,205.1852976,0.012163644
981,203.7665879,0.017272892
982,207.1357975,0.020307425
983,208.1731926,0.020953318
984,209.3869986,0.01875055
985,211.7586854,0.017676138
986,211.8802935,0.015294287
987,212.7569241,0.011940699
988,214.5797605,0.01411908
989,213.3015007,0.018033632
990,212.3932189,0.020206611
991,212.8403079,0.019788747
992,220.3457417,0.018280571
